Time,Marker0_ID,Marker0_x,Marker0_y,Marker0_z,Marker1_ID,Marker1_x,Marker1_y,Marker1_z,Marker2_ID,Marker2_x,Marker2_y,Marker2_z,Marker3_ID,Marker3_x,Marker3_y,Marker3_z,thetaR,thetaL,dutyR,dutyL,wx,wy,wz,ax,ay,az,Vbatt
1671151804.5320277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671151804.5420892,0,-177.83935546875,195.290771484375,35.27294921875,1,-73.88861083984375,116.686279296875,-336.41162109375,2,-21.05035400390625,117.3671875,-338.083251953125,3,103.9173583984375,196.183837890625,24.498779296875,0,0,0,0,0,0,0,0,0,0,0
1671151804.5520737,0,-177.81304931640625,195.262451171875,35.25732421875,1,-73.9493408203125,116.760986328125,-336.435791015625,2,-21.1124267578125,117.368896484375,-338.05859375,3,103.9384765625,196.187255859375,24.49755859375,0,0,0,0,0,0,0,0,0,0,0
1671151804.5620627,0,-177.74310302734375,195.20556640625,35.229736328125,1,-73.95599365234375,116.779296875,-336.427490234375,2,-21.07110595703125,117.355224609375,-338.084228515625,3,103.9622802734375,196.20703125,24.533935546875,0,0,0,0,0,0,0,0,0,0,0
1671151804.5721874,0,-177.7886962890625,195.296630859375,35.2529296875,1,-73.9613037109375,116.76416015625,-336.416259765625,2,-20.967041015625,117.32177734375,-338.05810546875,3,103.9718017578125,196.211669921875,24.516357421875,0,0,0,0,0,0,0,0,0,0,0
1671151804.5820878,0,-177.758056640625,195.262939453125,35.280517578125,1,-73.90380859375,116.76513671875,-336.44140625,2,-21.0330810546875,117.3583984375,-338.07958984375,3,103.952880859375,196.221923828125,24.524169921875,0,0,0,0,0,0,0,0,0,0,0
1671151804.5920653,0,-177.76177978515625,195.30517578125,35.23974609375,1,-73.91339111328125,116.77294921875,-336.464599609375,2,-20.998291015625,117.33203125,-338.09130859375,3,103.9298095703125,196.19921875,24.52392578125,0,0,0,0,0,0,0,0,0,0,0
1671151804.60207,0,-177.83563232421875,195.253173828125,35.28125,1,-73.89483642578125,116.744873046875,-336.3935546875,2,-21.0589599609375,117.325439453125,-338.06591796875,3,103.9635009765625,196.1787109375,24.511962890625,0,0,0,0,0,0,0,0,0,0,0
1671151804.612037,0,-177.81658935546875,195.227783203125,35.2626953125,1,-73.9566650390625,116.734619140625,-336.439697265625,2,-21.02520751953125,117.3681640625,-338.08154296875,3,103.9732666015625,196.2412109375,24.53466796875,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0,-0.18,1.85,9.69,11.672291584
1671151804.6220632,0,-177.78662109375,195.267578125,35.2841796875,1,-73.82037353515625,116.674560546875,-336.432861328125,2,-21.03131103515625,117.3310546875,-338.080078125,3,104.011474609375,196.19970703125,24.54296875,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0,-0.18,1.85,9.69,11.672291584
1671151804.6320763,0,-177.83087158203125,195.22705078125,35.28173828125,1,-73.89227294921875,116.721923828125,-336.43896484375,2,-21.0272216796875,117.315673828125,-338.0576171875,3,104.01513671875,196.21435546875,24.527587890625,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0,-0.18,1.85,9.69,11.672291584
1671151804.642081,0,-177.81573486328125,195.245849609375,35.2890625,1,-73.89813232421875,116.748291015625,-336.420166015625,2,-21.0162353515625,117.3330078125,-338.038330078125,3,103.9527587890625,196.144775390625,24.51318359375,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0,-0.18,1.85,9.69,11.672291584
1671151804.6520286,0,-177.7742919921875,195.290771484375,35.2763671875,1,-73.9053955078125,116.72216796875,-336.408935546875,2,-21.08306884765625,117.29541015625,-338.0693359375,3,103.936767578125,196.14697265625,24.5048828125,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0,-0.18,1.85,9.69,11.672291584
1671151804.662055,0,-177.7215576171875,195.20751953125,35.240478515625,1,-73.87030029296875,116.72412109375,-336.439697265625,2,-21.04791259765625,117.3505859375,-338.081787109375,3,103.944580078125,196.236083984375,24.546630859375,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.19,1.85,9.72,11.668998048
1671151804.672054,0,-177.7762451171875,195.3388671875,35.2431640625,1,-73.9346923828125,116.7939453125,-336.46435546875,2,-21.0439453125,117.376708984375,-338.10791015625,3,103.973876953125,196.260498046875,24.5078125,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.19,1.85,9.72,11.668998048
1671151804.682077,0,-177.98944091796875,195.06494140625,35.369873046875,1,-73.913818359375,116.76953125,-336.434814453125,2,-21.0352783203125,117.3505859375,-338.071533203125,3,104.0057373046875,196.179931640625,24.496337890625,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.19,1.85,9.72,11.668998048
1671151804.69214,0,-177.75018310546875,195.317626953125,35.302490234375,1,-73.9112548828125,116.757568359375,-336.45556640625,2,-21.00823974609375,117.37646484375,-338.103759765625,3,103.96337890625,196.16015625,24.55322265625,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.19,1.85,9.72,11.668998048
1671151804.702159,0,-177.74310302734375,195.354248046875,35.2294921875,1,-73.968994140625,116.822021484375,-336.403076171875,2,-21.04534912109375,117.289794921875,-338.05859375,3,103.919677734375,196.187255859375,24.498291015625,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.19,1.85,9.72,11.668998048
1671151804.7121215,0,-177.71246337890625,195.249267578125,35.224853515625,1,-73.91424560546875,116.745849609375,-336.3818359375,2,-21.02398681640625,117.37060546875,-338.06005859375,3,103.947021484375,196.23291015625,24.49658203125,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.19,1.85,9.72,11.668998048
1671151804.7221632,0,-177.86285400390625,195.228759765625,35.298583984375,1,-73.9063720703125,116.785400390625,-336.427001953125,2,-21.03228759765625,117.362060546875,-338.05712890625,3,103.956787109375,196.227783203125,24.516845703125,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0022222222222222222,0.0011111111111111111,-0.18,1.84,9.68,11.675585120000001
1671151804.7320607,0,-177.80877685546875,195.1513671875,35.280029296875,1,-73.9681396484375,116.74267578125,-336.387451171875,2,-21.0457763671875,117.290771484375,-338.066162109375,3,103.9019775390625,196.251220703125,24.54833984375,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0022222222222222222,0.0011111111111111111,-0.18,1.84,9.68,11.675585120000001
1671151804.7421134,0,-177.79693603515625,195.234619140625,35.29736328125,1,-73.84063720703125,116.707275390625,-336.4326171875,2,-21.0758056640625,117.349853515625,-338.06689453125,3,103.9205322265625,196.168701171875,24.50634765625,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0022222222222222222,0.0011111111111111111,-0.18,1.84,9.68,11.675585120000001
1671151804.7520692,0,-177.853271484375,195.135009765625,35.3232421875,1,-73.8731689453125,116.758056640625,-336.43603515625,2,-21.08221435546875,117.345458984375,-338.0693359375,3,103.9290771484375,196.179443359375,24.488525390625,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0022222222222222222,0.0011111111111111111,-0.18,1.84,9.68,11.675585120000001
1671151804.7620864,0,-177.80609130859375,195.205078125,35.2421875,1,-73.89544677734375,116.755615234375,-336.462158203125,2,-21.0665283203125,117.385498046875,-338.077880859375,3,103.9547119140625,196.2314453125,24.525634765625,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.0011111111111111111,-0.18,1.82,9.69,11.682172192000001
1671151804.7720585,0,-177.8214111328125,195.342041015625,35.23779296875,1,-73.9029541015625,116.7431640625,-336.430908203125,2,-21.0396728515625,117.3662109375,-338.048583984375,3,104.0277099609375,196.22265625,24.5390625,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.0011111111111111111,-0.18,1.82,9.69,11.682172192000001
1671151804.7821362,0,-177.88885498046875,195.222412109375,35.339111328125,1,-73.93194580078125,116.75439453125,-336.421630859375,2,-21.07684326171875,117.3623046875,-338.08349609375,3,103.941162109375,196.22607421875,24.516357421875,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.0,-0.0011111111111111111,-0.18,1.82,9.69,11.682172192000001
