Time,Marker0_ID,Marker0_x,Marker0_y,Marker0_z,Marker1_ID,Marker1_x,Marker1_y,Marker1_z,Marker2_ID,Marker2_x,Marker2_y,Marker2_z,Marker3_ID,Marker3_x,Marker3_y,Marker3_z,thetaR,thetaL,dutyR,dutyL,wx,wy,wz,ax,ay,az,Vbatt
1671151527.805744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671151527.8158238,0,-72.7353515625,196.7421875,113.40771484375,1,15.1837158203125,116.668212890625,-261.78076171875,2,68.3502197265625,117.48388671875,-266.171142578125,3,208.757568359375,195.95849609375,91.042724609375,0,0,0,0,0,0,0,0,0,0,0
1671151527.8258357,0,-72.69921875,196.587646484375,113.406005859375,1,15.16943359375,116.62158203125,-261.7451171875,2,68.3668212890625,117.427734375,-266.11328125,3,208.671630859375,195.953125,91.01953125,0,0,0,0,0,0,0,0,0,0,0
1671151527.8357694,0,-72.654296875,196.750244140625,113.35009765625,1,15.1942138671875,116.632568359375,-261.71435546875,2,68.3636474609375,117.431640625,-266.133056640625,3,208.737060546875,195.90966796875,91.03076171875,0,0,0,0,0,0,0,0,0,0,0
1671151527.8457718,0,-72.70660400390625,196.709228515625,113.302001953125,1,15.1973876953125,116.640380859375,-261.714599609375,2,68.380126953125,117.447509765625,-266.173095703125,3,208.744140625,195.963623046875,91.041015625,0,0,0,0,0,0,0,0,0,0,0
1671151527.855767,0,-72.76318359375,196.72314453125,113.333984375,1,15.1790771484375,116.61376953125,-261.737548828125,2,68.3336181640625,117.436767578125,-266.16845703125,3,208.7073974609375,195.95654296875,91.034423828125,0,0,0,0,0,0,0,0,0,0,0
1671151527.8657372,0,-72.60040283203125,196.761474609375,113.370849609375,1,15.17724609375,116.623291015625,-261.751708984375,2,68.335693359375,117.357421875,-266.15771484375,3,208.7283935546875,195.90380859375,91.0322265625,0,0,0,0,0,0,0,0,0,0,0
1671151527.875868,0,-72.69183349609375,196.794189453125,113.34033203125,1,15.1844482421875,116.617919921875,-261.738037109375,2,68.35302734375,117.41552734375,-266.176025390625,3,208.7095947265625,195.97314453125,91.03173828125,0.0,0.0,0.0,0.0,-0.28444444444444444,-0.0033333333333333335,-0.0,-0.18,1.81,9.6,11.72498816
1671151527.8858783,0,-72.69207763671875,196.798583984375,113.3740234375,1,15.206787109375,116.610595703125,-261.71337890625,2,68.34814453125,117.415771484375,-266.15869140625,3,208.6885986328125,195.927734375,91.051513671875,0.0,0.0,0.0,0.0,-0.28444444444444444,-0.0033333333333333335,-0.0,-0.18,1.81,9.6,11.72498816
1671151527.895817,0,-72.69110107421875,196.711181640625,113.36669921875,1,15.199951171875,116.621337890625,-261.74658203125,2,68.379150390625,117.419921875,-266.136962890625,3,208.7060546875,195.9287109375,91.03662109375,0.0,0.0,0.0,0.0,-0.28444444444444444,-0.0033333333333333335,-0.0,-0.18,1.81,9.6,11.72498816
