Time,Marker0_ID,Marker0_x,Marker0_y,Marker0_z,Marker1_ID,Marker1_x,Marker1_y,Marker1_z,Marker2_ID,Marker2_x,Marker2_y,Marker2_z,Marker3_ID,Marker3_x,Marker3_y,Marker3_z,thetaR,thetaL,dutyR,dutyL,wx,wy,wz,ax,ay,az,Vbatt
1671151403.7692864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671151403.7793407,0,-112.425048828125,195.60302734375,90.3408203125,1,-102.11248779296875,115.13037109375,-293.760498046875,2,-50.729736328125,116.235595703125,-309.0244140625,3,158.0821533203125,196.310302734375,10.512451171875,0,0,0,0,0,0,0,0,0,0,0
1671151403.789325,0,-112.3956298828125,195.58544921875,90.31982421875,1,-102.11962890625,115.129150390625,-293.753173828125,2,-50.7127685546875,116.2392578125,-309.056396484375,3,158.0748291015625,196.315185546875,10.47900390625,0,0,0,0,0,0,0,0,0,0,0
1671151403.7994053,0,-112.48199462890625,195.580322265625,90.36669921875,1,-102.1146240234375,115.1484375,-293.751708984375,2,-50.695068359375,116.150390625,-308.995849609375,3,158.0821533203125,196.297607421875,10.4951171875,0,0,0,0,0,0,0,0,0,0,0
1671151403.8093245,0,-112.5252685546875,195.482177734375,90.3828125,1,-102.11767578125,115.1572265625,-293.75244140625,2,-50.83538818359375,116.254638671875,-309.074462890625,3,158.0751953125,196.287353515625,10.4765625,0,0,0,0,0,0,0,0,0,0,0
1671151403.8193812,0,-112.5386962890625,195.459716796875,90.3671875,1,-102.1318359375,115.109375,-293.7509765625,2,-50.70233154296875,116.1962890625,-309.06201171875,3,158.0819091796875,196.30029296875,10.495849609375,0,0,0,0,0,0,0,0,0,0,0
1671151403.8293986,0,-112.4776611328125,195.53955078125,90.383056640625,1,-102.144287109375,115.14794921875,-293.76953125,2,-50.7022705078125,116.190673828125,-309.034912109375,3,158.1019287109375,196.33447265625,10.500732421875,0,0,0,0,0,0,0,0,0,0,0
1671151403.8394032,0,-112.43804931640625,195.54736328125,90.343994140625,1,-102.1318359375,115.118896484375,-293.719482421875,2,-50.736083984375,116.239990234375,-309.046875,3,158.1319580078125,196.286865234375,10.47509765625,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-0.16,1.83,9.68,11.74145584
1671151403.8494442,0,-112.50030517578125,195.521240234375,90.36669921875,1,-102.1231689453125,115.125,-293.733642578125,2,-50.68341064453125,116.18505859375,-309.068115234375,3,158.06103515625,196.281494140625,10.47705078125,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-0.16,1.83,9.68,11.74145584
1671151403.8593283,0,-112.45318603515625,195.54833984375,90.36181640625,1,-102.1307373046875,115.124755859375,-293.7392578125,2,-50.826416015625,116.22998046875,-309.0556640625,3,158.037109375,196.318115234375,10.468505859375,0.0,0.0,0.0,0.0,-0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-0.16,1.83,9.68,11.74145584
1671151403.869322,0,-112.578125,195.4765625,90.355712890625,1,-102.126708984375,115.132080078125,-293.770263671875,2,-50.69879150390625,116.1630859375,-309.079345703125,3,158.0946044921875,196.336669921875,10.49951171875,0.0,0.0,0.0,0.0,0.0022222222222222222,-0.0022222222222222222,-0.0,-0.16,1.82,9.62,11.748042912
1671151403.8793209,0,-112.45843505859375,195.545654296875,90.3603515625,1,-102.1365966796875,115.1279296875,-293.72998046875,2,-50.73297119140625,116.179443359375,-309.040771484375,3,158.11328125,196.321044921875,10.467529296875,0.0,0.0,0.0,0.0,0.0022222222222222222,-0.0022222222222222222,-0.0,-0.16,1.82,9.62,11.748042912
1671151403.8893244,0,-112.50653076171875,195.52880859375,90.39892578125,1,-102.137451171875,115.119384765625,-293.72998046875,2,-50.69464111328125,116.169189453125,-309.03662109375,3,158.128173828125,196.315185546875,10.491455078125,0.0,0.0,0.0,0.0,0.0022222222222222222,-0.0022222222222222222,-0.0,-0.16,1.82,9.62,11.748042912
1671151403.8993967,0,-112.4498291015625,195.56640625,90.378662109375,1,-102.1295166015625,115.136474609375,-293.734130859375,2,-50.74554443359375,116.2060546875,-309.060302734375,3,158.0887451171875,196.287841796875,10.477783203125,0.0,0.0,0.0,0.0,0.0022222222222222222,-0.0022222222222222222,-0.0,-0.16,1.82,9.62,11.748042912
1671151403.9093177,0,-112.470947265625,195.50537109375,90.37451171875,1,-102.1170654296875,115.138427734375,-293.749267578125,2,-50.79730224609375,116.152587890625,-309.054931640625,3,158.079345703125,196.272216796875,10.4638671875,0.0,0.0,0.0,0.0,0.0022222222222222222,-0.0022222222222222222,-0.0,-0.16,1.82,9.62,11.748042912
