t,x,y,z,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,dutyR,dutyL,Vbatt
0.00000000000000000,39.42214820609792980,16.41155204779471077,32.43076997689001217,0.10438609749014452,-0.64908081232952131,0.60209034785033722,0.45308371714496731,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.01010107994079590,39.42214820609792980,16.41155204779471077,32.43076997689001217,0.71760428679964594,-0.00176288757685382,0.00330326757255833,0.69644100124670050,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.02009534835815430,39.42530098084905177,16.34508059770234567,32.40311080410503308,0.71762891620092040,-0.00193176588975193,0.00335909856797033,0.69641490748665791,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.03016543388366699,39.48940799535800750,16.40275470377838118,32.41459183473904915,0.71764209126429124,-0.00181128324838058,0.00327738741877257,0.69640204395917460,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.04009342193603516,39.44666818577692879,16.39291809833032687,32.43148141714868871,0.71760294955383097,-0.00191578340087947,0.00325959065782963,0.69644218111365586,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.05008506774902344,39.42136280779847368,16.40782646168777248,32.43061966752288328,0.71758512395863538,-0.00175695257987218,0.00334963428328912,0.69646053939980712,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.06008481979370117,39.44561506269732121,16.39306392549827152,32.39611300497929847,0.71764083234164100,-0.00185351444581365,0.00328399354049286,0.69640319903531578,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000
0.07012152671813965,39.48875202936371664,16.37256969664600348,32.41734400059315391,0.71761697383632039,-0.00193853850275540,0.00329108545843613,0.69642751933491298,0.00000000000000000,-0.00222222222222222,-0.00000000000000000,-0.14999999999999999,1.82000000000000006,9.69999999999999929,0.00000000000000000,0.00000000000000000,11.73486876800000012
0.08019018173217773,39.46403315210414320,16.42540949979452947,32.44399294638400733,0.71758262925679239,-0.00180652380854649,0.00322294061069140,0.69646358075240233,0.00000000000000000,-0.00222222222222222,-0.00000000000000000,-0.14999999999999999,1.82000000000000006,9.69999999999999929,0.00000000000000000,0.00000000000000000,11.73486876800000012
0.09018015861511230,39.44949589407286794,16.39864817077724624,32.45235439990639037,0.71763659877735153,-0.00186662296573139,0.00327875934385663,0.69640755133121801,0.00000000000000000,-0.00222222222222222,-0.00000000000000000,-0.14999999999999999,1.82000000000000006,9.69999999999999929,0.00000000000000000,0.00000000000000000,11.73486876800000012
0.10009288787841797,39.42155450723196708,16.40958246799334930,32.43086192556602754,0.71760831841363015,-0.00178387332430512,0.00328380075012574,0.69643688572056406,0.00000000000000000,-0.00222222222222222,-0.00000000000000000,-0.14999999999999999,1.82000000000000006,9.69999999999999929,0.00000000000000000,0.00000000000000000,11.73486876800000012
0.11018586158752441,39.41854277275580642,16.38171367129285727,32.39758431253778070,0.71763142208355224,-0.00175349873475582,0.00339706479948274,0.69641261277440547,0.00000000000000000,-0.00222222222222222,-0.00000000000000000,-0.14999999999999999,1.82000000000000006,9.69999999999999929,0.00000000000000000,0.00000000000000000,11.73486876800000012
0.12008404731750488,39.51512622029542143,16.34624603557585587,32.44928280757849137,0.71761528685986187,-0.00199341093123608,0.00327201153047005,0.69642919260930036,0.00111111111111111,0.00111111111111111,-0.00000000000000000,-0.14000000000000001,1.83000000000000007,9.71000000000000085,0.00000000000000000,0.00000000000000000,11.74145584000000042
0.13023352622985840,39.53420143832860134,16.39608017675880447,32.46284842478393529,0.71760365040738405,-0.00191479886542556,0.00314240900202699,0.69644200026489322,0.00111111111111111,0.00111111111111111,-0.00000000000000000,-0.14000000000000001,1.83000000000000007,9.71000000000000085,0.00000000000000000,0.00000000000000000,11.74145584000000042
0.14017271995544434,39.41974160713461117,16.38472121847513208,32.46850223190079276,0.71755400056029572,-0.00178924826647953,0.00337808221827138,0.69649238576676686,0.00111111111111111,0.00111111111111111,-0.00000000000000000,-0.14000000000000001,1.83000000000000007,9.71000000000000085,0.00000000000000000,0.00000000000000000,11.74145584000000042
0.15018391609191895,39.40025073093391228,16.42295064773803048,32.44304192510492868,0.71757777764594022,-0.00171572654861720,0.00329658708450017,0.69646846434330301,0.00111111111111111,0.00111111111111111,-0.00000000000000000,-0.14000000000000001,1.83000000000000007,9.71000000000000085,0.00000000000000000,0.00000000000000000,11.74145584000000042
0.16011047363281250,39.40625048740584901,16.38993779787270100,32.43453453329215819,0.71758270066545993,-0.00175719342677760,0.00334099347515001,0.69646307708271560,0.00111111111111111,-0.00111111111111111,-0.00222222222222222,-0.13000000000000000,1.83000000000000007,9.73000000000000043,0.00000000000000000,0.00000000000000000,11.75792352000000029
