Time,Marker0_ID,Marker0_x,Marker0_y,Marker0_z,Marker1_ID,Marker1_x,Marker1_y,Marker1_z,Marker2_ID,Marker2_x,Marker2_y,Marker2_z,Marker3_ID,Marker3_x,Marker3_y,Marker3_z,thetaR,thetaL,dutyR,dutyL,wx,wy,wz,ax,ay,az,Vbatt
1671151183.60475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671151183.614843,0,-114.326171875,196.335693359375,99.351318359375,1,-29.6395263671875,116.15576171875,-276.548095703125,2,23.581298828125,117.609130859375,-281.720947265625,3,166.4635009765625,196.097900390625,74.609130859375,0,0,0,0,0,0,0,0,0,0,0
1671151183.6248126,0,-114.41900634765625,196.403564453125,99.374755859375,1,-29.55126953125,116.13916015625,-276.5703125,2,23.575439453125,117.62890625,-281.68603515625,3,166.41796875,196.051513671875,74.56591796875,0,0,0,0,0,0,0,0,0,0,0
1671151183.6348217,0,-114.40380859375,196.381591796875,99.370361328125,1,-29.58349609375,116.10791015625,-276.558349609375,2,23.5672607421875,117.590576171875,-281.7275390625,3,166.3955078125,196.052978515625,74.547119140625,0,0,0,0,0,0,0,0,0,0,0
1671151183.6448417,0,-114.3944091796875,196.34375,99.35791015625,1,-29.60595703125,116.15771484375,-276.5556640625,2,23.565673828125,117.64990234375,-281.742431640625,3,166.4073486328125,196.120361328125,74.5927734375,0,0,0,0,0,0,0,0,0,0,0
1671151183.6549463,0,-114.33172607421875,196.392822265625,99.36865234375,1,-29.63482666015625,116.16259765625,-276.512939453125,2,23.5029296875,117.66064453125,-281.738037109375,3,166.4296875,196.100341796875,74.62939453125,0,0,0,0,0,0,0,0,0,0,0
1671151183.6648188,0,-114.3572998046875,196.361572265625,99.337890625,1,-29.59893798828125,116.11376953125,-276.5185546875,2,23.5560302734375,117.600830078125,-281.748779296875,3,166.444091796875,196.128173828125,74.615966796875,0,0,0,0,0,0,0,0,0,0,0
1671151183.6748095,0,-114.39532470703125,196.36669921875,99.37548828125,1,-29.521240234375,116.088623046875,-276.5458984375,2,23.5743408203125,117.59814453125,-281.730712890625,3,166.388427734375,196.060546875,74.5302734375,0,0,0,0,0,0,0,0,0,0,0
1671151183.684821,0,-114.4173583984375,196.359375,99.364013671875,1,-29.5634765625,116.142578125,-276.5751953125,2,23.544189453125,117.577392578125,-281.7158203125,3,166.40478515625,196.05078125,74.56591796875,0,0,0,0,0,0,0,0,0,0,0
1671151183.694789,0,-114.39337158203125,196.377685546875,99.3515625,1,-29.60614013671875,116.1240234375,-276.516357421875,2,23.5572509765625,117.6142578125,-281.72216796875,3,166.399169921875,196.0556640625,74.52294921875,0,0,0,0,0,0,0,0,0,0,0
1671151183.704889,0,-114.38092041015625,196.3759765625,99.35986328125,1,-29.5638427734375,116.122802734375,-276.577392578125,2,23.5782470703125,117.6474609375,-281.70263671875,3,166.4232177734375,196.077392578125,74.57958984375,0,0,0,0,0,0,0,0,0,0,0
1671151183.7147894,0,-114.3804931640625,196.330810546875,99.351806640625,1,-29.6241455078125,116.113037109375,-276.544677734375,2,23.571044921875,117.5986328125,-281.71484375,3,166.446533203125,196.084228515625,74.60498046875,0,0,0,0,0,0,0,0,0,0,0
1671151183.7248106,0,-114.3631591796875,196.329345703125,99.35888671875,1,-29.5665283203125,116.151611328125,-276.5703125,2,23.54345703125,117.6474609375,-281.7392578125,3,166.4093017578125,196.0576171875,74.550048828125,0,0,0,0,0,0,0,0,0,0,0
1671151183.734813,0,-114.3701171875,196.329833984375,99.37255859375,1,-29.5484619140625,116.11572265625,-276.58349609375,2,23.5523681640625,117.60693359375,-281.70751953125,3,166.39697265625,196.0625,74.54541015625,0,0,0,0,0,0,0,0,0,0,0
1671151183.7448556,0,-114.41253662109375,196.387939453125,99.386962890625,1,-29.5963134765625,116.128662109375,-276.528076171875,2,23.565673828125,117.610595703125,-281.72607421875,3,166.41650390625,196.044921875,74.55224609375,0,0,0,0,0,0,0,0,0,0,0
1671151183.754943,0,-114.39312744140625,196.35791015625,99.38037109375,1,-29.59686279296875,116.150146484375,-276.541259765625,2,23.5657958984375,117.627685546875,-281.71435546875,3,166.432861328125,196.0927734375,74.579833984375,0,0,0,0,0,0,0,0,0,0,0
1671151183.764811,0,-114.39373779296875,196.378173828125,99.327392578125,1,-29.603759765625,116.12109375,-276.543701171875,2,23.5535888671875,117.629150390625,-281.755126953125,3,166.44287109375,196.10693359375,74.588134765625,0,0,0,0,0,0,0,0,0,0,0
1671151183.7748306,0,-114.4056396484375,196.336669921875,99.379638671875,1,-29.5780029296875,116.1376953125,-276.548583984375,2,23.5472412109375,117.6044921875,-281.751708984375,3,166.3995361328125,196.052978515625,74.54443359375,0,0,0,0,0,0,0,0,0,0,0
1671151183.7848237,0,-114.38775634765625,196.332275390625,99.367919921875,1,-29.5860595703125,116.139892578125,-276.55126953125,2,23.554443359375,117.60986328125,-281.740966796875,3,166.3836669921875,196.07373046875,74.54296875,0,0,0,0,0,0,0,0,0,0,0
1671151183.7948394,0,-114.3623046875,196.318603515625,99.385009765625,1,-29.6328125,116.1171875,-276.565185546875,2,23.556884765625,117.587158203125,-281.721435546875,3,166.41796875,196.0458984375,74.554931640625,0,0,0,0,0,0,0,0,0,0,0
1671151183.8048344,0,-114.3970947265625,196.34521484375,99.36669921875,1,-29.57904052734375,116.136474609375,-276.56201171875,2,23.5653076171875,117.6044921875,-281.7119140625,3,166.4659423828125,196.12548828125,74.6298828125,0,0,0,0,0,0,0,0,0,0,0
1671151183.8147898,0,-114.4049072265625,196.32763671875,99.346923828125,1,-29.6148681640625,116.122314453125,-276.51220703125,2,23.55908203125,117.610595703125,-281.73095703125,3,166.443603515625,196.076416015625,74.619384765625,0,0,0,0,0,0,0,0,0,0,0
1671151183.8248959,0,-114.4013671875,196.361328125,99.37255859375,1,-29.60205078125,116.150146484375,-276.551025390625,2,23.56787109375,117.6171875,-281.7197265625,3,166.4200439453125,196.04541015625,74.531982421875,0,0,0,0,0,0,0,0,0,0,0
1671151183.8347867,0,-114.4112548828125,196.337158203125,99.364990234375,1,-29.59515380859375,116.16943359375,-276.546142578125,2,23.567138671875,117.63232421875,-281.753173828125,3,166.43212890625,196.082275390625,74.5556640625,0,0,0,0,0,0,0,0,0,0,0
1671151183.8448057,0,-114.46295166015625,196.278564453125,99.36181640625,1,-29.55859375,116.1025390625,-276.523681640625,2,23.561279296875,117.630615234375,-281.709716796875,3,166.4176025390625,196.08447265625,74.570556640625,0,0,0,0,0,0,0,0,0,0,0
1671151183.8549333,0,-114.4403076171875,196.327880859375,99.397216796875,1,-29.5645751953125,116.12451171875,-276.5439453125,2,23.550048828125,117.6611328125,-281.719970703125,3,166.4718017578125,196.100341796875,74.59716796875,0,0,0,0,0,0,0,0,0,0,0
