Time,Marker0_ID,Marker0_x,Marker0_y,Marker0_z,Marker1_ID,Marker1_x,Marker1_y,Marker1_z,Marker2_ID,Marker2_x,Marker2_y,Marker2_z,Marker3_ID,Marker3_x,Marker3_y,Marker3_z,thetaR,thetaL,dutyR,dutyL,wx,wy,wz,ax,ay,az,Vbatt
1671151575.9313743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671151575.9415433,0,-39.14678955078125,195.776123046875,165.132080078125,1,46.6409912109375,115.893310546875,-210.42919921875,2,99.9302978515625,117.37109375,-215.623779296875,3,242.5396728515625,195.924072265625,140.8408203125,0,0,0,0,0,0,0,0,0,0,0
1671151575.9514234,0,-39.1251220703125,195.813720703125,165.121826171875,1,46.65234375,115.94091796875,-210.439453125,2,99.9307861328125,117.41650390625,-215.62060546875,3,242.506591796875,195.90234375,140.79345703125,0,0,0,0,0,0,0,0,0,0,0
1671151575.961387,0,-39.10577392578125,195.79150390625,165.097412109375,1,46.6341552734375,115.9189453125,-210.448486328125,2,99.947509765625,117.359130859375,-215.610595703125,3,242.4971923828125,195.882080078125,140.78466796875,0,0,0,0,0,0,0,0,0,0,0
1671151575.9713535,0,-39.10491943359375,195.78271484375,165.149169921875,1,46.6202392578125,115.9013671875,-210.4638671875,2,99.9251708984375,117.390625,-215.63525390625,3,242.515869140625,195.894287109375,140.78955078125,0,0,0,0,0,0,0,0,0,0,0
1671151575.9813876,0,-39.11846923828125,195.83349609375,165.0751953125,1,46.6331787109375,115.942138671875,-210.475341796875,2,99.962646484375,117.3974609375,-215.59375,3,242.548095703125,195.898193359375,140.857421875,0,0,0,0,0,0,0,0,0,0,0
1671151575.991373,0,-39.10833740234375,195.7470703125,165.090576171875,1,46.64306640625,115.915771484375,-210.450927734375,2,99.96044921875,117.3671875,-215.590087890625,3,242.5521240234375,195.9169921875,140.8662109375,0,0,0,0,0,0,0,0,0,0,0
1671151576.0013971,0,-39.13140869140625,195.807861328125,165.113037109375,1,46.6226806640625,115.915771484375,-210.48388671875,2,99.94921875,117.400146484375,-215.60595703125,3,242.5338134765625,195.915283203125,140.80224609375,0,0,0,0,0,0,0,0,0,0,0
1671151576.0113928,0,-39.15704345703125,195.7900390625,165.116943359375,1,46.6578369140625,115.932861328125,-210.49853515625,2,99.9368896484375,117.36181640625,-215.614013671875,3,242.5179443359375,195.928955078125,140.774658203125,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333335,-0.0011111111111111111,-0.17,1.83,9.58,11.711814016
1671151576.0213509,0,-39.10968017578125,195.81591796875,165.0966796875,1,46.6253662109375,115.902587890625,-210.474365234375,2,99.957275390625,117.356689453125,-215.588623046875,3,242.5164794921875,195.90625,140.782958984375,0.0,0.0,0.0,0.0,0.0,-0.0033333333333333335,-0.0011111111111111111,-0.17,1.83,9.58,11.711814016
1671151576.0313904,0,-39.12646484375,195.85986328125,165.064453125,1,46.648193359375,115.93359375,-210.452880859375,2,99.9793701171875,117.416259765625,-215.580078125,3,242.546875,195.9306640625,140.832275390625,0.0,0.0,0.0,0.0,-0.0011111111111111111,0.28,-0.0,-0.18,1.82,9.62,11.688759264
1671151576.041383,0,-39.19073486328125,195.8173828125,165.063720703125,1,46.6336669921875,115.91259765625,-210.485107421875,2,99.9442138671875,117.383544921875,-215.631103515625,3,242.5396728515625,195.9111328125,140.85595703125,0.0,0.0,0.0,0.0,-0.0011111111111111111,0.28,-0.0,-0.18,1.82,9.62,11.688759264
1671151576.0513892,0,-39.12261962890625,195.801025390625,165.0927734375,1,46.61181640625,115.9208984375,-210.47021484375,2,99.92919921875,117.38134765625,-215.613525390625,3,242.533447265625,195.907470703125,140.81787109375,0.0,0.0,0.0,0.0,-0.0011111111111111111,0.28,-0.0,-0.18,1.82,9.62,11.688759264
